customer_id,tenure_months,contract_type,is_senior_citizen,partner,dependents,has_phone_service,has_internet_service,has_online_security,has_tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,payment_method,paperless_billing,churn
C0001,51,month-to-month,0,1,1,1,dsl,0,1,1,0,66.51070306786421,3392.045856461075,mailed-check,1,0
C0002,14,month-to-month,0,1,1,1,dsl,1,1,1,1,53.353709982559124,746.9519397558278,credit-card,1,0
C0003,71,month-to-month,0,1,0,1,dsl,0,1,0,1,55.186406200650254,3918.234840246168,mailed-check,0,0
C0004,60,one-year,0,0,1,1,fiber,1,0,1,0,36.75039927982349,2205.0239567894096,credit-card,1,0
C0005,20,one-year,1,1,1,1,dsl,0,1,0,1,54.90784506443241,1098.1569012886482,bank-transfer,1,0
C0006,23,one-year,0,1,1,1,fiber,1,0,0,1,20.0,460.0,mailed-check,0,0
C0007,2,one-year,0,1,0,1,dsl,0,0,1,0,111.06298838780326,222.12597677560652,electronic-check,1,1
C0008,21,month-to-month,0,0,0,1,fiber,0,1,0,0,128.02143548310522,2688.4501451452097,mailed-check,0,1
C0009,52,one-year,1,1,1,1,fiber,0,0,1,0,65.57244099432819,3409.766931705066,credit-card,0,0
C0010,1,month-to-month,0,1,1,1,fiber,0,1,0,1,83.14304185886483,83.14304185886483,credit-card,1,0
C0011,29,month-to-month,0,1,1,1,dsl,1,0,0,0,74.9202732656013,2172.6879247024376,electronic-check,1,0
C0012,37,month-to-month,0,0,1,1,fiber,0,0,1,0,30.608220358136776,1132.5041532510606,electronic-check,1,0
C0013,1,month-to-month,0,1,0,1,dsl,0,1,1,0,100.78778594350325,100.78778594350325,credit-card,0,0
C0014,63,month-to-month,0,1,1,1,dsl,1,1,0,1,105.26351466511525,6631.601423902261,bank-transfer,0,1
C0015,59,two-year,1,1,0,1,fiber,0,0,1,0,38.77049047135614,2287.4589378100122,bank-transfer,1,0
C0016,20,month-to-month,0,0,0,1,fiber,1,1,1,1,79.89668261133892,1597.9336522267783,credit-card,0,0
C0017,32,month-to-month,0,0,0,1,fiber,1,0,0,1,62.11716166424069,1987.749173255702,bank-transfer,1,1
C0018,57,month-to-month,1,0,1,1,dsl,0,1,0,0,105.69766018733499,6024.766630678095,electronic-check,1,1
C0019,21,one-year,0,0,0,0,fiber,0,0,0,1,67.51373332943973,1417.7883999182343,bank-transfer,1,0
C0020,48,month-to-month,0,1,0,0,fiber,1,0,1,1,68.32621052458411,3279.6581051800376,electronic-check,1,0
C0021,58,one-year,1,1,1,1,fiber,0,0,1,1,124.62636458359549,7228.329145848538,mailed-check,0,1
C0022,41,month-to-month,0,0,1,1,fiber,1,0,1,1,31.437530775865035,1288.9387618104665,electronic-check,1,0
C0023,59,one-year,0,0,1,1,fiber,0,0,0,1,77.44151292359598,4569.049262492163,mailed-check,0,0
C0024,14,month-to-month,0,1,0,1,dsl,0,1,1,0,72.6595249473607,1017.2333492630497,electronic-check,0,0
C0025,61,one-year,0,1,1,1,fiber,1,0,0,0,51.89157656856702,3165.3861706825883,electronic-check,0,0
C0026,61,one-year,0,0,0,1,fiber,0,1,0,0,131.19464008658505,8002.873045281688,bank-transfer,0,0
C0027,46,month-to-month,0,0,0,1,fiber,0,1,0,1,80.09646069356657,3684.4371919040623,electronic-check,0,1
C0028,61,month-to-month,0,0,1,1,dsl,0,0,0,0,90.15319283838173,5499.3447631412855,credit-card,0,0
C0029,50,month-to-month,1,0,0,1,none,1,0,0,1,94.43811949931904,4721.905974965952,mailed-check,1,1
C0030,54,month-to-month,0,1,0,1,none,0,1,0,1,60.374370057339334,3260.215983096324,mailed-check,0,0
C0031,63,month-to-month,1,0,0,1,fiber,1,0,0,1,107.25292748831103,6756.934431763595,electronic-check,1,0
C0032,2,one-year,0,0,0,0,fiber,0,0,1,1,101.21603335820659,202.43206671641317,credit-card,0,1
C0033,50,month-to-month,0,1,1,0,none,1,1,0,0,66.33698829609548,3316.8494148047744,electronic-check,1,0
C0034,6,month-to-month,0,1,0,1,fiber,0,1,1,1,98.14800428974824,588.8880257384894,electronic-check,1,1
C0035,20,month-to-month,0,1,1,1,fiber,0,1,1,0,107.19807716904283,2143.9615433808567,bank-transfer,0,1
C0036,72,month-to-month,0,1,0,1,fiber,1,1,1,0,93.85285209187141,6757.405350614742,electronic-check,1,0
C0037,38,two-year,1,1,0,1,dsl,0,1,1,1,44.94341228010519,1707.8496666439974,electronic-check,1,0
C0038,17,month-to-month,0,0,1,1,fiber,1,1,1,0,67.22935821444997,1142.8990896456496,bank-transfer,0,0
C0039,3,one-year,0,0,0,1,none,0,0,0,0,84.26111301560753,252.78333904682262,bank-transfer,0,0
C0040,59,one-year,0,0,0,1,fiber,1,1,1,0,77.56361504958204,4576.25328792534,credit-card,0,0
C0041,13,one-year,0,1,0,1,dsl,0,1,1,1,47.64481585584517,619.3826061259872,bank-transfer,0,0
C0042,8,two-year,0,0,0,1,dsl,1,0,1,1,61.403097030056344,491.22477624045075,mailed-check,0,0
C0043,52,month-to-month,0,1,0,1,fiber,0,0,0,1,80.5559985992146,4188.911927159159,mailed-check,0,0
C0044,1,two-year,0,0,0,1,dsl,1,0,1,0,24.72356243509976,24.72356243509976,credit-card,0,0
C0045,59,month-to-month,0,0,1,1,dsl,1,0,1,0,70.57990583823307,4164.214444455752,electronic-check,0,0
C0046,70,month-to-month,0,1,1,1,fiber,0,0,1,1,90.89934173901561,6362.953921731093,credit-card,1,0
C0047,43,one-year,0,1,1,1,fiber,1,0,1,1,78.48814106382609,3374.990065744522,bank-transfer,0,0
C0048,7,two-year,0,0,0,1,fiber,1,1,0,0,44.27563871716558,309.92947102015904,electronic-check,1,0
C0049,46,one-year,1,0,0,1,dsl,0,0,1,1,49.55463286115634,2279.5131116131915,credit-card,0,0
C0050,34,month-to-month,0,0,0,1,none,0,0,0,1,114.60985697998339,3896.735137319435,credit-card,0,1
C0051,35,month-to-month,0,0,1,1,dsl,0,0,0,0,41.8705958978004,1465.470856423014,mailed-check,0,0
C0052,49,two-year,0,0,0,1,dsl,0,0,1,0,105.57003519176197,5172.931724396337,credit-card,0,0
C0053,3,month-to-month,0,1,1,1,fiber,0,1,1,1,51.360541444518205,154.0816243335546,electronic-check,1,1
C0054,1,one-year,1,1,0,1,none,0,0,0,1,103.90522318117699,103.90522318117699,credit-card,1,1
C0055,5,one-year,0,1,0,1,dsl,1,0,1,1,86.23311913870053,431.16559569350267,credit-card,0,0
C0056,53,month-to-month,0,1,0,1,none,1,1,1,1,59.558711008463035,3156.611683448541,bank-transfer,1,0
C0057,3,month-to-month,0,0,1,1,none,1,1,1,0,20.0,60.0,credit-card,0,0
C0058,53,month-to-month,0,0,0,1,fiber,0,1,0,1,81.95703102969371,4343.722644573767,electronic-check,1,0
C0059,62,month-to-month,0,1,1,1,fiber,0,0,0,1,75.44689409905871,4677.70743414164,mailed-check,0,0
C0060,17,two-year,0,0,0,1,none,1,1,1,0,82.41738336695755,1401.0955172382783,mailed-check,1,0
C0061,43,month-to-month,0,1,0,1,none,1,1,1,0,86.18204470516638,3705.8279223221543,mailed-check,1,0
C0062,33,two-year,0,0,1,1,none,0,1,0,0,30.576188137771112,1009.0142085464468,mailed-check,1,0
C0063,61,month-to-month,0,0,0,1,fiber,1,0,0,0,81.79815420734609,4989.687406648111,bank-transfer,0,0
C0064,13,two-year,1,0,0,1,fiber,0,0,0,0,92.27622023801152,1199.5908630941497,electronic-check,1,0
C0065,47,month-to-month,0,1,0,1,none,0,1,0,0,91.92228063501604,4320.347189845754,bank-transfer,0,0
C0066,14,month-to-month,0,1,0,1,dsl,1,0,0,0,32.40830128472623,453.7162179861672,mailed-check,1,1
C0067,71,month-to-month,0,1,1,1,fiber,0,0,0,1,104.62896241129764,7428.656331202132,bank-transfer,0,1
C0068,61,one-year,1,1,1,1,fiber,0,0,0,1,82.86098467040358,5054.520064894618,credit-card,0,1
C0069,39,one-year,0,0,0,1,fiber,0,0,1,0,86.66643918262824,3379.9911281225013,electronic-check,0,0
C0070,52,one-year,1,0,0,1,dsl,0,0,0,1,43.12899819654844,2242.707906220519,credit-card,1,0
C0071,23,month-to-month,0,0,1,1,dsl,1,1,0,1,92.71276553081488,2132.393607208742,bank-transfer,1,1
C0072,25,month-to-month,0,0,0,1,dsl,0,1,1,0,20.0,500.0,credit-card,0,0
C0073,59,month-to-month,0,1,1,1,fiber,0,1,1,0,44.55409385786412,2628.6915376139827,bank-transfer,0,0
C0074,40,month-to-month,0,0,0,1,fiber,1,1,1,0,107.99752847598135,4319.901139039254,bank-transfer,0,1
C0075,28,month-to-month,0,0,1,1,dsl,0,0,0,0,91.25783313931049,2555.2193279006938,electronic-check,1,0
C0076,14,two-year,0,0,1,1,dsl,0,1,0,0,78.74524265488286,1102.43339716836,electronic-check,1,0
C0077,44,two-year,0,1,1,1,dsl,1,1,1,1,98.31141631677772,4325.7023179382195,electronic-check,1,0
C0078,64,two-year,0,1,1,1,dsl,1,0,1,1,100.39578021841442,6425.329933978523,mailed-check,1,0
C0079,70,one-year,0,1,0,1,dsl,0,0,1,0,92.73745534442752,6491.6218741099265,electronic-check,1,0
C0080,8,month-to-month,0,0,0,1,fiber,0,0,0,0,63.477161626713944,507.81729301371155,credit-card,0,1
C0081,0,month-to-month,0,1,1,1,none,1,0,1,1,43.658603786029275,0.0,electronic-check,0,1
C0082,7,month-to-month,0,0,1,1,dsl,0,1,0,1,50.09761227216286,350.68328590514005,electronic-check,0,0
C0083,62,one-year,0,0,1,1,fiber,0,0,0,1,112.31763163084459,6963.693161112365,electronic-check,0,0
